 year , adminClass , economicClass , budgetPhase , sum ,
nom,nom,nom,nom,target,
 2014 , 70 , 6265 , executed , 0.0 ,
 2015 , 50 , 7131 , executed , 0.0 ,
 2013 , 50 , 7326 , approved , 0.0 ,
 2015 , 70 , 6264 , executed , 0.0 ,
 2014 , 25 , 6411 , revised , 0.0 ,
 2015 , 10 , 6162 , approved , 25698.01 ,
 2014 , 50 , 7132 , executed , 0.0 ,
 2014 , 10 , 6161 , approved , 0.0 ,
 2013 , 25 , 6412 , revised , 0.0 ,
 2014 , 15 , 6635 , draft , 0.0 ,
 2014 , 40 , 6693 , revised , 0.0 ,
 2015 , 40 , 6692 , revised , 0.0 ,
 2013 , 25 , 6022 , reserved , 0.0 ,
 2014 , 20 , 6673 , revised , 0.0 ,
 2015 , 20 , 6672 , revised , 2000.0 ,
 2015 , 25 , 6671 , revised , 0.0 ,
 2013 , 20 , 6021 , reserved , 104700.0 ,
 2015 , 45 , 6699 , revised , 10000.0 ,
 2015 , 35 , 6162 , reserved , 0.0 ,
 2013 , 45 , 6263 , reserved , 0.0 ,
 2015 , 45 , 6261 , reserved , 0.0 ,
 2014 , 50 , 6012 , reserved , 0.0 ,
 2015 , 50 , 6013 , reserved , 0.0 ,
 2015 , 40 , 6265 , reserved , 0.0 ,
 2014 , 40 , 6264 , reserved , 0.0 ,
 2015 , 35 , 6613 , draft , 0.0 ,
 2014 , 35 , 6614 , draft , 0.0 ,
 2014 , 50 , 6072 , executed , 0.0 ,
 2013 , 35 , 6615 , draft , 0.0 ,
 2013 , 25 , 6482 , approved , 0.0 ,
 2015 , 15 , 6461 , executed , 0.0 ,
 2014 , 25 , 6671 , revised , 0.0 ,
 2014 , 45 , 6699 , revised , 5000.0 ,
 2013 , 30 , 6612 , draft , 0.0 ,
 2014 , 45 , 6261 , reserved , 0.0 ,
 2014 , 35 , 6162 , reserved , 0.0 ,
 2013 , 45 , 6262 , reserved , 787.2 ,
 2014 , 50 , 6013 , reserved , 0.0 ,
 2015 , 50 , 6012 , reserved , 0.0 ,
 2014 , 40 , 6265 , reserved , 0.0 ,
 2013 , 30 , 6662 , revised , 0.0 ,
 2013 , 70 , 6622 , revised , 0.0 ,
 2015 , 40 , 6264 , reserved , 0.0 ,
 2013 , 25 , 6483 , approved , 0.0 ,
 2014 , 35 , 6613 , draft , 0.0 ,
 2015 , 50 , 6072 , executed , 0.0 ,
 2015 , 35 , 6614 , draft , 0.0 ,
 2013 , 30 , 6611 , draft , 500.0 ,
 2014 , 15 , 6461 , executed , 0.0 ,
 2014 , 35 , 6662 , revised , 16000.0 ,
 2014 , 25 , 6672 , revised , 0.0 ,
 2015 , 25 , 6673 , revised , 0.0 ,
 2013 , 45 , 6265 , reserved , 0.0 ,
 2015 , 70 , 6323 , approved , 0.0 ,
 2013 , 30 , 6613 , draft , 0.0 ,
 2013 , 00 , 6153 , approved , 0.0 ,
 2014 , 00 , 6152 , approved , 0.0 ,
 2015 , 00 , 6151 , approved , 61966.06 ,
 2013 , 20 , 6414 , revised , 0.0 ,
 2014 , 35 , 6611 , draft , 0.0 ,
 2015 , 10 , 6635 , draft , 0.0 ,
 2015 , 30 , 6615 , draft , 1500.0 ,
 2015 , 70 , 7521 , approved , 0.0 ,
 2013 , 40 , 6699 , revised , 0.0 ,
 2013 , 40 , 6261 , reserved , 0.0 ,
 2015 , 40 , 6263 , reserved , 0.0 ,
 2014 , 15 , 6162 , approved , 0.0 ,
 2014 , 35 , 6612 , draft , 0.0 ,
 2013 , 30 , 6162 , reserved , 0.0 ,
 2013 , 20 , 6413 , revised , 0.0 ,
 2015 , 20 , 6411 , revised , 0.0 ,
 2014 , 40 , 6262 , reserved , 0.0 ,
 2014 , 15 , 6462 , executed , 0.0 ,
 2015 , 15 , 6463 , executed , 0.0 ,
 2015 , 35 , 6662 , revised , 15000.0 ,
 2014 , 25 , 6673 , revised , 0.0 ,
 2015 , 25 , 6672 , revised , 0.0 ,
 2013 , 30 , 6614 , draft , 0.0 ,
 2013 , 20 , 6022 , reserved , 2027.59 ,
 2014 , 70 , 6323 , approved , 0.0 ,
 2013 , 45 , 6264 , reserved , 0.0 ,
 2013 , 00 , 6154 , approved , 0.0 ,
 2014 , 00 , 6151 , approved , 131283.72 ,
 2015 , 00 , 6152 , approved , 0.0 ,
 2014 , 70 , 7521 , approved , 0.0 ,
 2014 , 30 , 6615 , draft , 0.0 ,
 2014 , 10 , 6635 , draft , 0.0 ,
 2015 , 35 , 6611 , draft , 0.0 ,
 2014 , 40 , 6263 , reserved , 0.0 ,
 2013 , 20 , 6412 , revised , 0.0 ,
 2015 , 15 , 6162 , approved , 0.0 ,
 2015 , 35 , 6612 , draft , 0.0 ,
